Search Term,Tweet Text,URL
AARP,"Learn more about making sense of your money with these titles found here: https://t.co/JnuAgheKiu #theNewSGPL

https://t.co/sHMDJzZt4b",http://ow.ly/tAfB309W0Ql
AARP,Are you ready for the March term? Find your class book lists here! https://t.co/7fqJPyaHeB #GoEagles #registration https://t.co/jZgtVuHwFZ,https://goo.gl/H94kbD
